,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M
41,Peru,"45,03,222",,"2,20,196",,"42,81,673",300,"1,353",26,"1,33,689","6,537","3,85,48,796"
42,Switzerland,"44,04,327",,"14,452",,"43,85,766",,"4,109",39,"5,01,996","1,647","2,38,33,472"
43,Philippines,"41,08,914",,"66,453",,"40,28,497",,"13,964",162,"36,521",591,"3,51,02,988"
44,South Africa,"40,76,463",,"1,02,595",,"39,12,506",,"61,362",192,"67,095","1,689","2,67,95,090"
45,Romania,"33,97,365",,"68,117",,"33,22,007",,"7,241",114,"1,78,514","3,579","2,72,42,332"
46,Denmark,"31,81,175",,"8,619",,"31,71,771",,785,10,"5,45,193","1,477","12,92,73,953"
47,Hong Kong,"28,95,915",,"13,627",,"28,71,619",,"10,669",28,"3,80,826","1,792","7,61,27,725"
48,Sweden,"27,08,137",,"24,183",,"26,79,925",,"4,029",8,"2,65,011","2,366","1,95,00,873"
49,Serbia,"25,38,142",,"18,033",,"25,13,671",,"6,438",12,"2,93,325","2,084","1,28,42,610"
50,Iraq,"24,65,545",,"25,375",,"24,39,497",,673,21,"58,474",602,"1,95,44,451"
51,Singapore,"23,91,248",,"1,727",,"21,49,583",,"2,39,938",2,"4,02,327",291,"2,47,56,666"
52,New Zealand,"23,36,352",,"4,202",,"23,21,339",,"10,811",,"4,76,981",858,"77,68,604"
53,Hungary,"22,02,179",,"48,859",,"21,49,848",,"3,472",8,"2,29,244","5,086","1,13,94,556"
54,Bangladesh,"20,38,384",,"29,446",,"19,98,448",,"10,490",N/A,"12,141",175,"1,52,54,399"
55,Slovakia,"18,66,647",,"21,167",,"18,45,145",,335,13,"3,41,865","3,877","74,28,816"
56,Georgia,"18,40,187",,"17,059",,"17,76,548",,"46,580",,"4,63,671","4,298","1,69,20,079"
57,Jordan,"17,46,997",,"14,122",,"17,31,007",,"1,868",59,"1,69,597","1,371","1,72,01,885"
58,Ireland,"17,11,233",,"8,905",,"17,00,028",459,"2,300",19,"3,40,870","1,774","1,30,83,449"
59,Pakistan,"15,80,900",,"30,660",,"15,38,689",,"11,551",9,"6,889",134,"3,05,71,377"
60,Norway,"14,83,454",,"5,435",,"14,77,481",85,538,20,"2,69,162",986,"1,10,02,430"
61,Finland,"14,77,021",,"9,492",,"14,61,740",,"5,789",21,"2,65,892","1,709","1,20,90,288"
62,Kazakhstan,"14,11,831",,"13,848",,"13,83,020",,"14,963",24,"73,514",721,"1,15,75,012"
